callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
HBAL102,,a21c0f,,,,,2020-03-31 00:41:44+00:00,2020-04-01 22:50:47+00:00,2020-04-01 00:00:00+00:00,-4.821135957362288,-76.31936961206897,18288.0,-4.52490234375,-79.01027356163935,2194.56
AUA1028,,440081,OE-LPD,B772,YSSY,LOWW,2020-03-31 03:29:15+00:00,2020-04-01 00:41:43+00:00,2020-04-01 00:00:00+00:00,-33.96348856263245,151.18062973022458,0.0,48.11741715770657,16.54998779296875,
ABW120,,424564,VQ-BRJ,B748,KORD,UUEE,2020-03-31 07:07:17+00:00,2020-04-01 12:54:29+00:00,2020-04-01 00:00:00+00:00,41.96591134798729,-87.88315174191496,0.0,55.98348999023438,37.49583851207386,472.44
CSN461,CZ461,780da8,B-2026,B77L,KLAX,EDDF,2020-03-31 07:15:52+00:00,2020-04-01 12:02:53+00:00,2020-04-01 00:00:00+00:00,33.93630205574682,-118.4139633178711,0.0,50.03567504882812,8.572299354954769,45.72
ETH3730,,04015c,,,OMSJ,EBLG,2020-03-31 08:05:10+00:00,2020-04-01 01:15:08+00:00,2020-04-01 00:00:00+00:00,25.38642495365466,55.42213871793927,609.6,50.63424682617188,5.439027485094572,76.2
QTR895,,06a1be,A7-BEH,B77W,OTHH,OTHH,2020-03-31 08:14:22+00:00,2020-04-01 02:16:51+00:00,2020-04-01 00:00:00+00:00,25.28741455078125,51.59133911132812,0.0,25.2593994140625,51.62506103515625,-15.24
LOT8551,,48ae23,,,EPWA,SAEZ,2020-03-31 09:37:56+00:00,2020-04-01 00:31:59+00:00,2020-04-01 00:00:00+00:00,52.17164611816406,20.96206665039062,0.0,-34.81539916992188,-58.57394471460458,99.06
AZG2672,,4243a0,,,OMDW,,2020-03-31 09:40:28+00:00,2020-04-01 02:54:08+00:00,2020-04-01 00:00:00+00:00,24.90110778808594,55.153452555338546,0.0,41.40239650920286,44.714163846747816,11887.2
ETH3909,,04008b,ET-ARI,B77L,VABB,EBLG,2020-03-31 09:56:50+00:00,2020-04-01 05:44:59+00:00,2020-04-01 00:00:00+00:00,19.08879166942532,72.87016712535512,0.0,50.634636313228285,5.439717060810811,83.82000000000002
FDX5230,,ab8b7f,N843FD,B77L,,RKSI,2020-03-31 10:21:59+00:00,2020-04-01 00:27:59+00:00,2020-04-01 00:00:00+00:00,36.23204040527344,-90.87902069091795,8229.6,37.31932067871094,126.5864011074634,990.6
CAL5167,CI5167,899104,B-18718,B744,KLAX,RCTP,2020-03-31 10:34:38+00:00,2020-04-01 00:38:22+00:00,2020-04-01 00:00:00+00:00,33.935929637844275,-118.41842651367192,0.0,25.07308959960938,121.21627807617192,-7.62
QTR8158,,06a0de,A7-BFE,B77L,SAEZ,EBLG,2020-03-31 10:35:36+00:00,2020-04-01 08:11:58+00:00,2020-04-01 00:00:00+00:00,-34.82461185778601,-58.52193832397461,0.0,50.62660217285156,5.427029258326478,129.54
CKS246,,aa9830,N782CK,B744,KCVG,YSSY,2020-03-31 10:41:51+00:00,2020-04-01 07:40:56+00:00,2020-04-01 00:00:00+00:00,39.0456894696769,-84.7315673828125,609.6,-33.984623278601696,151.18595123291018,91.44
SOO237,9S237,a98c7a,N714SA,B77L,KCVG,RKSI,2020-03-31 10:55:14+00:00,2020-04-01 00:30:59+00:00,2020-04-01 00:00:00+00:00,39.045922230866,-84.72076416015625,609.6,37.316134178032314,126.5890701957371,777.24
BOX590,,3c4581,D-AALA,B77L,EDDP,VHHH,2020-03-31 11:08:29+00:00,2020-04-01 04:18:20+00:00,2020-04-01 00:00:00+00:00,51.41373456534693,12.25112915039062,0.0,22.30119323730469,113.9133411754261,-22.86
CSN467,CZ467,7805aa,B-2075,B77L,EGSS,EDDF,2020-03-31 11:11:18+00:00,2020-04-01 12:30:45+00:00,2020-04-01 00:00:00+00:00,51.89657592773438,0.2521514892578125,0.0,50.03569522146451,8.572286657384922,
FDX77,,ac0d21,,,KOAK,YSSY,2020-03-31 11:12:19+00:00,2020-04-01 06:04:56+00:00,2020-04-01 00:00:00+00:00,37.70626831054688,-122.2213810048205,-304.8,-33.99362182617188,151.18818633410402,160.02
QTR989,,06a2b1,,,YSSY,OTHH,2020-03-31 11:15:55+00:00,2020-04-01 01:47:58+00:00,2020-04-01 00:00:00+00:00,-33.96758515956037,151.1815452575684,0.0,25.25930786132812,51.60369873046875,-15.24
UAE407,,8964a8,,,YMML,OMDB,2020-03-31 11:21:39+00:00,2020-04-01 00:47:10+00:00,2020-04-01 00:00:00+00:00,-37.69482421875,144.8427565554355,304.8,25.262095564502783,55.342772861696645,7.62
QTR913,,06a1bd,A7-BEG,B77W,YBBN,OTHH,2020-03-31 11:36:19+00:00,2020-04-01 02:10:48+00:00,2020-04-01 00:00:00+00:00,-27.38360595703125,153.1292033645342,-304.8,25.26420593261719,51.6229248046875,-7.62
CAL5261,,899105,B-18719,B744,KSEA,RCTP,2020-03-31 11:36:40+00:00,2020-04-01 00:24:37+00:00,2020-04-01 00:00:00+00:00,47.43011991856461,-122.30797400841351,0.0,25.07331460209216,121.21656309883551,-7.62
KAL9208,,71be02,HL7602,B744,KLAX,RKSI,2020-03-31 11:43:29+00:00,2020-04-01 00:39:29+00:00,2020-04-01 00:00:00+00:00,33.93644171246027,-118.4129905700684,0.0,37.321860103283896,126.58411440641979,990.6
QTR7UP,,06a143,A7-APB,A388,YSSY,OTHH,2020-03-31 11:49:40+00:00,2020-04-01 02:23:57+00:00,2020-04-01 00:00:00+00:00,-33.98331981594282,151.18526458740232,0.0,25.26501671742585,51.60117671174823,-15.24
QTR3GG,,06a142,A7-APA,A388,YMML,OTHH,2020-03-31 12:13:07+00:00,2020-04-01 02:14:44+00:00,2020-04-01 00:00:00+00:00,-37.6395791263904,144.8319277556046,0.0,25.275409698486328,51.61539713541667,-7.62
UAE9877,,89631d,A6-EFM,B77L,OMDW,OMDB,2020-03-31 12:35:45+00:00,2020-04-01 05:39:49+00:00,2020-04-01 00:00:00+00:00,24.89968872070312,55.1556396484375,0.0,25.24360656738281,55.38106282552084,-22.86
CFG711,,3c4aa9,D-ABUI,B763,,EDDF,2020-03-31 12:42:16+00:00,2020-04-01 04:12:34+00:00,2020-04-01 00:00:00+00:00,0.4255340058924788,105.2100030307112,11582.4,50.038511631852494,8.572750607052365,
