Zmeny:
Hledani:
10 - 20: B=80.000000, D=2.000000, I=99.000000, J=11.000000, K=30.000000, L=100.000000, M=38.000000, P=40.000000, Q=70.000000, S=10.000000, T=151.000000
214 - 172: A=504.000000, B=546.000000, C=798.000000, D=42.000000, E=84.000000, F=378.000000, G=210.000000, H=279.000000, I=126.000000, J=84.000000, K=126.000000, L=546.000000, M=714.000000, N=210.000000, O=714.000000, P=630.000000, Q=84.000000, R=403.000000, S=420.000000, T=84.000000
543 - 373: A=170.000000, B=2210.000000, C=3154.000000, D=1503.000000, E=664.000000, F=1963.000000, G=1020.000000, H=510.000000, I=510.000000, J=1249.000000, K=510.000000, L=1580.000000, M=2890.000000, N=850.000000, O=2890.000000, P=2550.000000, Q=1020.000000, R=2654.000000, S=1700.000000, T=548.000000
714 - 114: A=3522.000000, B=7138.000000, C=10982.000000, D=5952.000000, E=2414.000000, F=5272.000000, G=2956.000000, H=2358.000000, I=2164.000000, J=5061.000000, K=1800.000000, L=7030.000000, M=8649.000000, N=4064.000000, O=9910.000000, P=9000.000000, Q=3196.000000, R=6902.000000, S=6000.000000, T=2953.000000
593 - 525: A=68.000000, B=828.000000, C=1156.000000, D=1159.000000, E=272.000000, F=608.000000, G=408.000000, H=204.000000, I=204.000000, J=1292.000000, K=204.000000, L=734.000000, M=1156.000000, N=340.000000, O=1156.000000, P=1020.000000, Q=408.000000, R=1156.000000, S=680.000000, T=68.000000
1955 - 959: A=10041.000000, B=10266.000000, C=6151.000000, D=15652.000000, E=7017.000000, F=8482.000000, G=7534.000000, H=11888.000000, I=4344.000000, J=15603.000000, K=9519.000000, L=13824.000000, M=5988.000000, N=7000.000000, O=10353.000000, P=9897.000000, Q=11994.000000, R=9345.000000, S=6478.000000, T=11169.000000
1938 - 1196: A=6723.000000, B=8412.000000, C=4492.000000, D=11386.000000, E=3498.000000, F=5638.000000, G=5452.000000, H=8472.000000, I=2922.000000, J=11100.000000, K=5490.000000, L=9558.000000, M=5514.000000, N=2683.000000, O=7509.000000, P=8238.000000, Q=8676.000000, R=6975.000000, S=3810.000000, T=8384.000000
363 - 1105: A=7047.000000, B=5456.000000, C=9418.000000, D=11779.000000, E=6701.000000, F=7383.000000, G=2993.000000, H=4006.000000, I=4331.000000, J=11947.000000, K=4396.000000, L=10009.000000, M=5198.000000, N=10132.000000, O=10369.000000, P=8218.000000, Q=6933.000000, R=7679.000000, S=7536.000000, T=5782.000000
508 - 1689: A=14370.000000, B=11215.000000, C=11408.000000, D=21436.000000, E=10528.000000, F=11878.000000, G=7795.000000, H=11645.000000, I=7364.000000, J=21665.000000, K=10161.000000, L=19091.000000, M=6592.000000, N=12981.000000, O=15167.000000, P=12011.000000, Q=13982.000000, R=11330.000000, S=10988.000000, T=11331.000000
1865 - 1611: A=1387.000000, B=3030.000000, C=624.000000, D=3530.000000, E=1096.000000, F=1140.000000, G=1140.000000, H=1524.000000, I=432.000000, J=3833.000000, K=1539.000000, L=2088.000000, M=2695.000000, N=762.000000, O=2508.000000, P=4233.000000, Q=2697.000000, R=2825.000000, T=4015.000000
1914 - 1325: A=4917.000000, B=6864.000000, C=3226.000000, D=8964.000000, E=2388.000000, F=4090.000000, G=4147.000000, H=6120.000000, I=2148.000000, J=8695.000000, K=3297.000000, L=7236.000000, M=5256.000000, N=2113.000000, O=5961.000000, P=7335.000000, Q=6870.000000, R=5685.000000, S=2262.000000, T=7902.000000
90 - 408: A=2330.000000, B=3826.000000, C=5962.000000, D=1955.000000, E=1382.000000, F=2562.000000, G=1770.000000, H=1475.000000, I=1174.000000, J=897.000000, K=954.000000, L=3985.000000, M=5438.000000, N=1195.000000, O=5382.000000, P=4770.000000, Q=1560.000000, R=2366.000000, S=3180.000000, T=2695.000000
719 - 831: A=1568.000000, B=586.000000, C=1164.000000, D=2016.000000, E=1317.000000, F=930.000000, G=112.000000, H=448.000000, I=1008.000000, J=2128.000000, K=336.000000, L=1152.000000, M=224.000000, N=2016.000000, O=1344.000000, P=960.000000, Q=672.000000, R=224.000000, S=1120.000000, T=798.000000
196 - 866: A=4594.000000, B=6772.000000, C=10918.000000, D=8606.000000, E=3818.000000, F=6018.000000, G=2698.000000, H=2474.000000, I=3186.000000, J=7740.000000, K=2010.000000, L=7878.000000, M=7559.000000, N=6665.000000, O=10340.000000, P=9050.000000, Q=4285.000000, R=6920.000000, S=6700.000000, T=4117.000000
872 - 1522: A=8893.000000, B=5988.000000, C=5743.000000, D=11997.000000, E=6624.000000, F=7648.000000, G=5429.000000, H=8884.000000, I=4094.000000, J=11910.000000, K=7786.000000, L=11700.000000, M=2488.000000, N=7267.000000, O=7584.000000, P=4760.000000, Q=9310.000000, R=6412.000000, S=7348.000000, T=7035.000000
1846 - 610: A=14797.000000, B=11873.000000, C=10064.000000, D=21889.000000, E=10592.000000, F=11602.000000, G=7664.000000, H=12276.000000, I=7058.000000, J=22234.000000, K=10692.000000, L=18684.000000, M=6704.000000, N=12942.000000, O=14771.000000, P=13150.000000, Q=14960.000000, R=11641.000000, S=9968.000000, T=13826.000000
783 - 355: A=2547.000000, B=4532.000000, C=7316.000000, D=6111.000000, E=2037.000000, F=3621.000000, G=1693.000000, H=1462.000000, I=1962.000000, J=5845.000000, K=1284.000000, L=4317.000000, M=4690.000000, N=4376.000000, O=6641.000000, P=6084.000000, Q=2568.000000, R=5363.000000, S=4280.000000, T=1072.000000
532 - 1128: A=7200.000000, B=3535.000000, C=6422.000000, D=10728.000000, E=6386.000000, F=5760.000000, G=2209.000000, H=3867.000000, I=3962.000000, J=11324.000000, K=4280.000000, L=8801.000000, M=2371.000000, N=9701.000000, O=7772.000000, P=5844.000000, Q=6241.000000, R=5312.000000, S=6122.000000, T=5418.000000
1729 - 795: A=12248.000000, B=9188.000000, C=7029.000000, D=17316.000000, E=9227.000000, F=10018.000000, G=7128.000000, H=10834.000000, I=5753.000000, J=16892.000000, K=9660.000000, L=16776.000000, M=4919.000000, N=9274.000000, O=11583.000000, P=8818.000000, Q=12740.000000, R=8636.000000, S=8118.000000, T=11502.000000
1650 - 1612: A=418.000000, B=570.000000, C=114.000000, D=722.000000, E=304.000000, F=228.000000, G=380.000000, H=228.000000, I=228.000000, J=646.000000, K=342.000000, L=684.000000, M=418.000000, N=114.000000, O=570.000000, P=646.000000, Q=456.000000, R=380.000000, T=608.000000
