[105089-108316: A=218.14],
[116424-124159: A=79.54],
[127966-142065: A=152.76],
[178530-228509: A=156.85],
[110055-110103: A=234.46],
[124070-129593: A=167.64],
[189575-220676: A=27.10],
[175212-232706: A=35.09],
[147354-183324: A=33.19],
[153167-184961: A=170.31],
[136032-165790: A=13.09],
[160548-184430: A=238.86],
[156858-193016: A=175.32],
[109020-113989: A=76.83],
[127268-149082: A=168.60],
[134494-136979: A=179.32],
[158423-213697: A=196.99],
[167181-201427: A=176.15],
[184813-255639: A=136.91],
[167114-221891: A=148.54],
[121513-121750: A=72.11],
[123034-141401: A=69.76],
[185077-193553: A=177.06],
[144165-153446: A=58.17],
[118152-132359: A=221.64],
[179472-224208: A=144.21],
[104183-105731: A=173.56],
[176309-205873: A=10.50],
[194298-268432: A=220.70],
[126419-132629: A=191.99],
[166447-207690: A=241.53],
[132217-138127: A=160.15],
[130681-155921: A=135.73],
[168493-224925: A=211.43],
[132228-143711: A=180.86],
[199516-290975: A=97.22],
[116324-119597: A=104.71],
[148845-152626: A=177.92],
[103395-104355: A=208.15],
[153200-169886: A=222.22],
[194907-278042: A=240.13],
[138749-167945: A=155.58],
[143659-179312: A=84.97],
[181078-192029: A=212.74],
[136793-144991: A=142.39],
[185458-244818: A=246.63],
[129981-143805: A=167.26],
[142238-178062: A=167.51],
[115826-121936: A=163.76],
[163767-221235: A=227.69],
[191781-232742: A=13.10],
[163561-188065: A=198.26],
[170977-176648: A=184.82],
[103848-106403: A=104.13],
[150155-163830: A=128.30],
[152620-161935: A=95.85],
[135913-145314: A=199.17],
[122840-135615: A=82.44],
[100351-100654: A=76.80],
[147996-177014: A=107.51],
[171577-211028: A=64.81],
[139407-176027: A=55.18],
[126536-138970: A=145.48],
[157246-194783: A=114.05],
[167093-199360: A=29.90],
[161623-190945: A=201.26],
[123805-124826: A=183.58],
[125901-131726: A=103.38],
[166909-192626: A=74.31],
[186390-221841: A=58.98],
[150263-177374: A=127.53],
[100844-101233: A=6.69],
[163417-206868: A=242.55],
[193424-212141: A=2.72],
[159501-183424: A=122.94],
[107169-109790: A=78.29],
[179832-181171: A=82.30],
[131033-154831: A=138.41],
[138088-164062: A=108.87],
[198809-208853: A=117.44],
[179919-228340: A=102.58],
[184314-246992: A=199.05],
[155847-190363: A=152.58],
[176965-219266: A=188.75],
[104762-105583: A=106.84],
[196698-235330: A=53.19],
[153373-161085: A=131.22],
[167760-216441: A=43.50],
[187796-250054: A=34.43],
[109611-115787: A=37.39],
[176369-246708: A=160.99],
[139259-154295: A=88.40],
[167274-195857: A=61.45],
[186682-189871: A=2.18],
[152827-184795: A=52.32],
[122997-128829: A=97.20],
[183864-196852: A=190.30],
[133165-143780: A=87.67],
[121162-125990: A=247.65],
[177702-180972: A=215.35],
[177169-248296: A=29.56],
[152038-161210: A=83.94],
[133728-158382: A=182.01],
[161977-207775: A=162.07],
[154638-183046: A=110.73],
[182298-227817: A=83.25],
[134880-155555: A=192.00],
[148353-155603: A=166.70],
[105677-109073: A=177.26],
[195005-275799: A=202.03],
[137519-148013: A=70.99],
[131248-132241: A=243.23],
[131178-132155: A=217.20],
[115588-117243: A=40.07],
[109526-109582: A=187.14],
[193434-256751: A=109.73],
[146868-147419: A=92.49],
[180892-225991: A=232.65],
[154937-191044: A=113.10],
[112677-121532: A=42.35],
[172444-239026: A=191.30],
[101304-102483: A=225.92],
[139312-170541: A=155.61],
[154104-169813: A=186.02],
[145593-183935: A=140.14],
[162146-174662: A=81.46],
[168783-217427: A=218.69],
[183972-265888: A=43.23],
[175733-221348: A=76.25],
[129386-146891: A=151.15],
[123109-145726: A=12.03],
[145745-191034: A=39.93],
[106700-107236: A=120.21],
[187491-270902: A=97.71],
[124217-124713: A=99.25],
[121162-129484: A=225.51],
